package,resolved,latest_stable_in_refreshed_index,parents_and_requirements,reason
"glam","0.28.0","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.29.3","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.30.10","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.31.1","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.32.1","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"hashbrown","0.14.5","0.17.1","dashmap 5.5.3 (^0.14.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"hashbrown","0.16.1","0.17.1","dugong-graphlib 0.7.0 (^0.16.1); hashlink 0.11.1 (^0.16); sqlx-core 0.9.0 (^0.16.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"hashlink","0.11.1","0.12.1","sqlx-core 0.9.0 (^0.11.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"hkdf","0.12.4","0.13.0","dbus-secret-service 4.1.0 (^0.12)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"hmac","0.12.1","0.13.0","hkdf 0.12.4 (^0.12.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"inout","0.1.4","0.2.2","cipher 0.4.4 (^0.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"io-lifetimes","2.0.4","3.0.1","fs-set-times 0.20.3 (^2.0.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"itertools","0.11.0","0.15.0","lalrpop 0.20.2 (^0.11)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"itertools","0.13.0","0.15.0","bindgen 0.72.1 (>=0.10, <0.14)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"json5","0.4.1","1.3.1","merman-core 0.7.0 (^0.4.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"keyring","3.6.3","4.2.0","alera-cli 0.1.0 (^3.6.3)","Retained platform backend pending credential migration certification"
"kurbo","0.9.5","0.13.1","svgtypes 0.11.0 (^0.9)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"lalrpop","0.20.2","0.23.1","merman-core 0.7.0 (^0.20.2)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"lalrpop-util","0.20.2","0.23.1","lalrpop 0.20.2 (^0.20.0); merman-core 0.7.0 (^0.20.2)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"libloading","0.8.9","0.9.0","clang-sys 1.9.1 (^0.8)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"libsqlite3-sys","0.37.0","0.38.2","sqlx-sqlite 0.9.0 (>=0.30.1, <0.38.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"logos","0.14.4","0.16.1","merman-core 0.7.0 (^0.14.4)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"logos-codegen","0.14.4","0.16.1","logos-derive 0.14.4 (^0.14.4)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"logos-derive","0.14.4","0.16.1","logos 0.14.4 (^0.14.4)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"lol_html","2.9.0","3.0.1","merman-core 0.7.0 (^2.7.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"matchit","0.8.4","0.9.2","axum 0.8.9 (=0.8.4)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"md-5","0.10.6","0.11.0","flutter_rust_bridge_macros 2.13.0 (^0.10.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"miniz_oxide","0.8.9","0.9.1","backtrace 0.3.76 (^0.8); png 0.18.1 (^0.8)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"moxcms","0.8.1","0.9.0","image 0.25.10 (^0.8.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"nalgebra","0.34.2","0.35.0","manatee 0.7.0 (^0.34.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"nix","0.28.0","0.31.3","portable-pty 0.9.0 (^0.28)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"nom","7.1.3","8.0.0","cexpr 0.6.0 (^7)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"num-bigint","0.4.8","0.5.1","fraction 0.17.0 (^0.4.8); num 0.4.3 (^0.4.5); num-rational 0.4.2 (^0.4.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"object","0.37.3","0.40.0","backtrace 0.3.76 (^0.37.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"openssl-src","300.6.1+3.6.3","400.0.1+4.0.2","openssl-sys 0.9.117 (^300.2.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"pastey","0.1.1","0.2.3","htmlize 1.1.0 (^0.1.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"petgraph","0.6.5","0.8.3","lalrpop 0.20.2 (^0.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"phf","0.12.1","0.14.0","chrono-tz 0.10.4 (^0.12)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"phf","0.13.1","0.14.0","cssparser 0.36.0 (^0.13.1); htmlize 1.1.0 (^0.13.1); selectors 0.37.0 (^0.13)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"phf_codegen","0.13.1","0.14.0","htmlize 1.1.0 (^0.13.1); selectors 0.37.0 (^0.13)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"phf_generator","0.13.1","0.14.0","phf_codegen 0.13.1 (^0.13.1); phf_macros 0.13.1 (^0.13.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"phf_macros","0.13.1","0.14.0","phf 0.13.1 (^0.13.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"phf_shared","0.11.3","0.14.0","string_cache 0.8.9 (^0.11)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"phf_shared","0.12.1","0.14.0","phf 0.12.1 (^0.12.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"phf_shared","0.13.1","0.14.0","phf 0.13.1 (^0.13.1); phf_codegen 0.13.1 (^0.13.1); phf_generator 0.13.1 (^0.13.1); phf_macros 0.13.1 (^0.13.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"prettyplease","0.2.37","0.3.0","bindgen 0.72.1 (^0.2.7)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"pulldown-cmark","0.12.2","0.13.4","merman-render 0.7.0 (^0.12.2)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"quinn-udp","0.5.15","0.6.1","quinn 0.11.11 (^0.5)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"r-efi","5.3.0","7.1.0","getrandom 0.3.4 (^5.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"r-efi","6.0.0","7.1.0","getrandom 0.4.3 (^6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"rand","0.8.8","0.10.2","roughr-merman 0.12.3 (^0.8)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"rand","0.9.5","0.10.2","sentry-core 0.49.2 (^0.9.3); sentry-types 0.49.2 (^0.9.3)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"rand_chacha","0.3.1","0.10.0","rand 0.8.8 (^0.3.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"rand_chacha","0.9.0","0.10.0","rand 0.9.5 (^0.9.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"rand_core","0.6.4","0.10.1","rand 0.8.8 (^0.6.0); rand_chacha 0.3.1 (^0.6.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"rand_core","0.9.5","0.10.1","rand 0.9.5 (^0.9.0); rand_chacha 0.9.0 (^0.9.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"redox_syscall","0.5.18","0.9.3","parking_lot_core 0.9.12 (^0.5)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"redox_users","0.4.6","0.5.2","dirs-sys-next 0.1.2 (^0.4.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"safe_arch","0.7.4","1.2.0","wide 0.7.33 (^0.7)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"security-framework","2.11.1","3.7.0","keyring 3.6.3 (^2 / ^3)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"selectors","0.37.0","0.40.0","lol_html 2.9.0 (^0.37)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"sha2","0.10.9","0.11.0","dbus-secret-service 4.1.0 (^0.10); sqlx-core 0.9.0 (^0.10.0); sqlx-macros-core 0.9.0 (^0.10.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"shlex","1.3.0","2.0.1","bindgen 0.72.1 (^1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"simba","0.9.1","0.10.2","nalgebra 0.34.2 (^0.9)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"siphasher","0.3.11","1.0.3","svgtypes 0.11.0 (^0.3)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"spin","0.9.9","0.12.3","flume 0.12.0 (^0.9.8)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"string_cache","0.8.9","0.11.0","lalrpop 0.20.2 (^0.8)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"svgtypes","0.11.0","0.16.1","merman-render 0.7.0 (^0.11); roughr-merman 0.12.3 (^0.16.1 / ^0.11)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"syn","2.0.119","3.0.4","async-recursion 1.1.1 (^2.0); bindgen 0.72.1 (^2.0); cssparser-macros 0.6.1 (^2); curve25519-dalek-derive 0.1.1 (^2.0.27); darling_core 0.20.11 (^2.0.15); darling_macro 0.20.11 (^2.0.15); derive_builder_core 0.20.2 (^2.0.15); derive_builder_macro 0.20.2 (^2.0.15); derive_more-impl 2.1.1 (^2.0.45); enumflags2_derive 0.7.12 (^2.0); flutter_rust_bridge_macros 2.13.0 (^2.0.26); jni-macros 0.22.4 (^2.0); jni-sys-macros 0.4.1 (^2); logos-codegen 0.14.4 (^2.0.13); openssl-macros 0.1.1 (^2); palette_derive 0.7.7 (^2.0.13); pest_generator 2.9.0 (^2.0); phf_macros 0.13.1 (^2); prettyplease 0.2.37 (^2.0.105); sqlx-macros 0.9.0 (^2.0.87); sqlx-macros-core 0.9.0 (^2.0.87); strum_macros 0.28.0 (^2.0); synstructure 0.13.2 (^2); thiserror-impl 1.0.69 (^2.0.87); tracing-attributes 0.1.31 (^2.0); uiautomation_derive 0.7.8 (^2.0.117); wasm-bindgen-macro-support 0.2.127 (^2.0); windows-implement 0.56.0 (^2.0); windows-implement 0.60.2 (^2.0); windows-interface 0.56.0 (^2.0); windows-interface 0.59.3 (^2.0); yoke-derive 0.8.2 (^2.0.21); zbus-lockstep-macros 0.5.2 (^2.0); zerocopy-derive 0.8.56 (^2.0.46); zerofrom-derive 0.1.7 (^2.0.21); zeroize_derive 1.5.0 (^2)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"synstructure","0.13.2","0.14.0","yoke-derive 0.8.2 (^0.13.0); zerofrom-derive 0.1.7 (^0.13.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"term","0.7.0","1.2.1","ascii-canvas 3.0.0 (^0.7); lalrpop 0.20.2 (^0.7)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"thiserror","1.0.69","2.0.20","filedescriptor 0.8.3 (^1.0); redox_users 0.4.6 (^1.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"thiserror-impl","1.0.69","2.0.20","thiserror 1.0.69 (=1.0.69)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"tower-http","0.6.11","0.7.0","reqwest 0.13.4 (^0.6.8)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"wasm-streams","0.5.0","0.6.0","reqwest 0.13.4 (^0.5)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"webpki-roots","0.26.11","1.0.9","tokio-tungstenite 0.30.0 (^0.26.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"weezl","0.1.12","0.2.1","tiff 0.11.3 (^0.1.10)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"wide","0.7.33","1.7.0","simba 0.9.1 (^0.7)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows","0.56.0","0.62.2","trash 5.2.6 (^0.56.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows-core","0.56.0","0.62.2","windows 0.56.0 (^0.56.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows-implement","0.56.0","0.60.2","windows-core 0.56.0 (^0.56.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows-interface","0.56.0","0.59.3","windows-core 0.56.0 (^0.56.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows-result","0.1.2","0.4.1","windows-core 0.56.0 (^0.1.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows-sys","0.52.0","0.61.2","ring 0.17.14 (^0.52)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows-sys","0.59.0","0.61.2","fs-set-times 0.20.3 (>=0.52, <0.60); winx 0.36.4 (>=0.52, <=0.59)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows-sys","0.60.2","0.61.2","arboard 3.6.1 (>=0.52.0, <0.61.0); io-extras 0.19.0 (>=0.52, <=0.60); keyring 3.6.3 (^0.60); notify 8.2.0 (^0.60.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows-targets","0.52.6","0.53.5","windows 0.56.0 (^0.52.5); windows-core 0.56.0 (^0.52.5); windows-result 0.1.2 (^0.52.5); windows-sys 0.52.0 (^0.52.0); windows-sys 0.59.0 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows_aarch64_gnullvm","0.52.6","0.53.1","windows-targets 0.52.6 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows_aarch64_msvc","0.52.6","0.53.1","windows-targets 0.52.6 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows_i686_gnu","0.52.6","0.53.1","windows-targets 0.52.6 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows_i686_gnullvm","0.52.6","0.53.1","windows-targets 0.52.6 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows_i686_msvc","0.52.6","0.53.1","windows-targets 0.52.6 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows_x86_64_gnu","0.52.6","0.53.1","windows-targets 0.52.6 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows_x86_64_gnullvm","0.52.6","0.53.1","windows-targets 0.52.6 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows_x86_64_msvc","0.52.6","0.53.1","windows-targets 0.52.6 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"winreg","0.10.1","0.56.0","portable-pty 0.9.0 (^0.10)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"wit-bindgen","0.57.1","0.61.1","wasip2 1.0.4+wasi-0.2.12 (^0.57.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"x11rb","0.13.2","0.14.0","arboard 3.6.1 (^0.13)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"x11rb-protocol","0.13.2","0.14.0","x11rb 0.13.2 (^0.13.2)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
