package,resolved,latest_stable_in_refreshed_index,parents_and_requirements,reason
"pem","3.0.6","4.0.0","jsonwebtoken 11.0.0 (^3)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"pem-rfc7468","0.7.0","1.0.0","der 0.7.10 (^0.7); elliptic-curve 0.13.8 (^0.7)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"pkcs8","0.10.2","0.11.0","ed25519 2.2.3 (^0.10); elliptic-curve 0.13.8 (^0.10.2); pkcs1 0.7.5 (^0.10); rsa 0.9.10 (^0.10.2); sec1 0.7.3 (^0.10)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"primeorder","0.13.6","0.14.0","p256 0.13.2 (^0.13); p384 0.13.1 (^0.13)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"quinn-udp","0.5.15","0.6.1","quinn 0.11.11 (^0.5)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"r-efi","6.0.0","7.1.0","getrandom 0.4.3 (^6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"rand","0.8.8","0.10.2","jsonwebtoken 11.0.0 (^0.8.5); num-bigint-dig 0.8.6 (^0.8.3 / ^0.8)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"rand_chacha","0.3.1","0.10.0","rand 0.8.8 (^0.3.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"rand_core","0.6.4","0.10.1","crypto-bigint 0.5.5 (^0.6.4 / ^0.6); elliptic-curve 0.13.8 (^0.6.4); ff 0.13.1 (^0.6); group 0.13.0 (^0.6); rand 0.8.8 (^0.6.0); rand_chacha 0.3.1 (^0.6.0); rsa 0.9.10 (^0.6.4 / ^0.6); signature 2.2.0 (^0.6.4)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"redox_syscall","0.5.18","0.9.3","parking_lot_core 0.9.12 (^0.5)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"rfc6979","0.4.0","0.6.0","ecdsa 0.16.9 (^0.4)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"sec1","0.7.3","0.8.1","elliptic-curve 0.13.8 (^0.7.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"sha2","0.10.9","0.11.0","ed25519-dalek 2.2.0 (^0.10); jsonwebtoken 11.0.0 (^0.10.7); p256 0.13.2 (^0.10); p384 0.13.1 (^0.10); sqlx-core 0.9.0 (^0.10.0); sqlx-macros-core 0.9.0 (^0.10.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"signature","2.2.0","3.0.0","ecdsa 0.16.9 (^2.0, <2.3); ed25519 2.2.3 (^2); jsonwebtoken 11.0.0 (^2.2.0); rsa 0.9.10 (>2.0, <2.3)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"spin","0.9.9","0.12.3","flume 0.12.0 (^0.9.8); lazy_static 1.5.0 (^0.9.8)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"spki","0.7.3","0.8.0","ecdsa 0.16.9 (^0.7.2); pkcs1 0.7.5 (^0.7); pkcs8 0.10.2 (^0.7.1); rsa 0.9.10 (^0.7.3)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"syn","2.0.119","3.0.4","curve25519-dalek-derive 0.1.1 (^2.0.27); jni-macros 0.22.4 (^2.0); jni-sys-macros 0.4.1 (^2); sqlx-macros 0.9.0 (^2.0.87); sqlx-macros-core 0.9.0 (^2.0.87); synstructure 0.13.2 (^2); tracing-attributes 0.1.31 (^2.0); wasm-bindgen-macro-support 0.2.127 (^2.0); windows-implement 0.60.2 (^2.0); windows-interface 0.59.3 (^2.0); yoke-derive 0.8.2 (^2.0.21); zerocopy-derive 0.8.56 (^2.0.46); zerofrom-derive 0.1.7 (^2.0.21); zeroize_derive 1.5.0 (^2)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"synstructure","0.13.2","0.14.0","yoke-derive 0.8.2 (^0.13.0); zerofrom-derive 0.1.7 (^0.13.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"tower-http","0.6.11","0.7.0","reqwest 0.13.4 (^0.6.8)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows-sys","0.52.0","0.61.2","ring 0.17.14 (^0.52)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows-targets","0.52.6","0.53.5","windows-sys 0.52.0 (^0.52.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows_aarch64_gnullvm","0.52.6","0.53.1","windows-targets 0.52.6 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows_aarch64_msvc","0.52.6","0.53.1","windows-targets 0.52.6 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows_i686_gnu","0.52.6","0.53.1","windows-targets 0.52.6 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows_i686_gnullvm","0.52.6","0.53.1","windows-targets 0.52.6 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows_i686_msvc","0.52.6","0.53.1","windows-targets 0.52.6 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows_x86_64_gnu","0.52.6","0.53.1","windows-targets 0.52.6 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows_x86_64_gnullvm","0.52.6","0.53.1","windows-targets 0.52.6 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"windows_x86_64_msvc","0.52.6","0.53.1","windows-targets 0.52.6 (^0.52.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
